Facility,Type,Number of Beds,Region,Address,City,State,Zip,Telefone,Fax,Admin,Admin Email,SW,SW Email,Markt,Markt Email
Aberdeen Heights,ALF I,106,Central County,505 Couch Ave.,Kirkwood,MO,63122,(314) 909-6010,(314) 909-6011,,,Joyce Wilton,jwilton@pmma.org,,
Ascension Sherbrooke Village,ALF II,60,South County,fax,St. Louis,MO,63125,(314) 544-1111,(314) 544-5134,Michael Roth,mroth@alexianbbrothers.net,Sandy Jones,sjones@alexianbrothers.net,,
Allegro,ALF II,,Central County,1055 Bellevue Avenue,Richmond Heights,MO,63117,314-332-8382,,Kari Lenz,,,,,
Anthology at Clayton View,ALF II,91,Central County,8825 Eager Road,St. Louis,MO,63144,314-961-1700,,Janice Effinger,,,,,
Anthology of Town & Country,ALF II,96,West County,1020 Woods Mill Road,Town & Country,MO,63017,636-527-4444,,Meghan Strassner,,,,,
Anthology of Wildwood,ALF II,Unknown,West County,251 Plaza Drive,Wildwood,MO,63040,636-273-3900,636-273-3609,Susan Mcclenahan,,,,,
Aperion Care at Hidden Lake,ALF I/II,76,North County,11728 Hidden Lake Drive,St. Louis,MO,63138,(314) 292-7501,(314) 336-0314,Michael O'Dea,mbachtel@aperioncare.com,Asata Cole,acole@aperioncare.com,,
Arbors at Highland Crest - Alzheimer's Assisted Living Americare,ALF II,26,NEMO - Adair,620 Gilaspy Road,Kirksville,MO,63501,(660) 627-2200,(660) 627-2201,Ashley Garfias,kirksville@americareusa.net,,"Americare Systems, Inc.",,
Arizona Care Center,ALF I,13,Franklin,101 Arizona St.,New Haven,MO,63068,(573) 237-4830,(573) 237-4831,Cathy Thompson,azcarealf@aol.com,,,,
Assisted Living at Charless Village,ALF II,18,South County,5943 Telegraph Road,St. Louis,MO,63129,(314) 846-2000,(314) 846-0083,Jennifer Popp,cecrouch@bethesdahealth.org,LeighAnn Jones,laminch@bethsdahealth.com,,
Assisted Living at the Meadowlands,ALF II,81,St. Charles,135 Meadowlands Estate Lane,O'Fallon,MO,63366,(636) 978-3600,(636) 978-3600,Kelly Thomas,,Terry Jen Kerson,,,
Autumn View Gardens at Schuetz Road,ALF II,100,Central County,11210 Schuetz Road,St. Louis,MO,63146,(314) 993-9888,(314) 993-0005,Lynne Wiegert,,,,,
Autumn View Gardens Ellisville,ALF II,84,West County,16219 Autumn View Terrace Drive,Ellisville,MO,63011,(636) 458-5225,(636) 458-0189,Maryann Eissler,tnye@ba.org,,,Allison Laupp,alaupp@ba.org
Avalon Memory Care,ALF II,,South County,5322 Butler Hill Rd,St. Louis,MO,63128,314-849-2985,,Meagan Martorelli,,,,,
Barathaven Alzheimer's Special Care Center,ALF II,66,St. Charles,1030 Barathaven Blvd.,Dardenne Prairie,MO,63368,(636) 329-9160,(636) 329-9950,Linda Busselman,barathaven-adm@jeaseniorliving.com,,,,
Bethesda Hawthorne Place,ALF II,Unknown,Central County,1111 South Berry Road,St. Louis,MO,63122,(314) 942-5750,,Lisa Reyolds,,,,,
Boulevard Senior Living at Wentzville,ALF II,,St. Charles,120 Perry Cate Blvd,Wentzville,MO,63385,(636) 698-9458,636-724-1981,Cindy Emch,,,,,
Boulevard Senior Living of St. Charles,ALF II,,St. Charles,3340 Ehlmann Road,St. Charles,MO,63301,636-757-5077,,,,,,,
Brentmoor Retirement Community,ALF I,36,Central County,8600 Delmar Blvd.,St. Louis,MO,63124,(314) 692-0099,(314) 743-0013,Denise Niemann,dniemann@brentmoor.com,,,"Virginia Miller, DON",vmiller@brentmoor.com
Brook Cherith Assisted Living,ALF I,,NEMO - Randolph,104 E. Elm St.,Huntsville,MO,65259,(660) 277-4439,(660) 277-3526,Sherri Kallmeyer,thebrookcherith@yahoo.com,,,,
Brookdale Creve Coeur,ALF II,46,Central County,1 New Ballas Place,Creve Coeur,MO,63146,(314) 432-5200,(314) 432-5222,Jessica Mueller,@brookdaleliving.com,,,Annette George,Ageorge@brookdale.com
